timestep,flow,occupy,speed
1093,336,0.0989,64.8
1094,267,0.0844,63.9
1095,304,0.1008,62.8
1096,276,0.0822,64.5
1097,287,0.0859,64.6
1098,298,0.0871,64.4
1099,285,0.0856,64.1
1100,289,0.0883,64.3
1101,308,0.0949,62.9
1102,304,0.0897,63.8
1103,280,0.0846,65
1104,267,0.0853,63.8
1105,282,0.0827,64
1106,288,0.0808,66
1107,234,0.0734,64.8
1108,238,0.0808,63
1109,243,0.0757,64.1
1110,258,0.0801,64.3
1111,264,0.0838,63.5
1112,262,0.0782,63.9
1113,235,0.0711,64.5
1114,229,0.0734,63.1
1115,231,0.0717,64.6
1116,221,0.0671,65.5
1117,240,0.0826,66.8
1118,227,0.071,69.4
1119,242,0.0743,69.6
1120,230,0.0761,70.2
1121,233,0.0736,70.4
1122,235,0.0779,69.9
1123,248,0.0722,71.3
1124,289,0.0854,70.9
1125,324,0.0962,70.7
1126,325,0.0922,70.6
1127,330,0.101,70
1128,337,0.0937,70.2
1129,349,0.1042,70.4
1130,323,0.093,69.9
1131,374,0.103,69.7
1132,360,0.1044,69.5
1133,332,0.0963,69.3
1134,360,0.097,70.3
1135,357,0.0956,69.9
1136,332,0.0929,70.3
1137,326,0.0957,69.8
1138,325,0.0955,69.2
1139,385,0.1044,69.2
1140,376,0.105,69.4
1141,368,0.0997,70.5
1142,320,0.0967,70.6
1143,357,0.1016,70.7
1144,279,0.0825,70.7
1145,253,0.0804,70.6
1146,266,0.0858,70.5
1147,218,0.0699,70.8
1148,207,0.0692,70.4
1149,225,0.0661,70.6
1150,214,0.0679,70.8
1151,180,0.0595,71.1
1152,207,0.066,71.5
1153,167,0.0573,66.5
1154,171,0.0652,70.2
1155,152,0.0549,71.1
1156,144,0.0621,70.1
1157,136,0.0541,71.2
1158,127,0.0508,71.2
1159,109,0.0479,71.2
1160,106,0.0424,70.6
1161,125,0.0491,71.2
1162,99,0.0427,71.2
1163,100,0.0407,71.2
1164,82,0.0389,71.3
1165,92,0.0434,71.1
1166,74,0.038,70.6
1167,90,0.0372,71.2
1168,66,0.0377,69.1
1169,101,0.0508,69
1170,82,0.0408,69.9
1171,83,0.0435,68.3
1172,80,0.0415,68.1
1173,79,0.0451,65.8
1174,75,0.0454,66.5
1175,65,0.0382,65.7
1176,87,0.0457,66.5
1177,67,0.0345,69.6
1178,71,0.0474,66.2
1179,70,0.0482,62.7
1180,84,0.0454,67.9
1181,87,0.0589,64.6
1182,70,0.0439,65.1
1183,67,0.0417,67.5
1184,84,0.0497,66.8
1185,93,0.0541,67.3
1186,87,0.0455,68.8
1187,98,0.0538,68.1
1188,65,0.0422,67.8
1189,74,0.0433,66.7
1190,68,0.0452,64.4
1191,84,0.0461,65.3
1192,110,0.0601,64.9
1193,112,0.0625,64.7
1194,118,0.0637,63.8
1195,104,0.0595,63.8
1196,110,0.0555,65.5
1197,108,0.0492,69.5
1198,141,0.0621,69.9
1199,130,0.0595,69.1
1200,163,0.0803,67
1201,179,0.0758,69.1
1202,168,0.0715,71.1
1203,229,0.0966,69.4
1204,223,0.0882,71.2
1205,253,0.0884,73.3
1206,264,0.1037,73.1
1207,300,0.1101,71.8
1208,361,0.1397,70.6
1209,340,0.1288,70.1
1210,422,0.1577,68.7
1211,412,0.154,69.1
1212,401,0.146,69.6
1213,446,0.1606,76.3
1214,497,0.1935,75.9
1215,422,0.1896,73.8
1216,465,0.2375,66.8
1217,427,0.2123,65.6
1218,429,0.1704,74.1
1219,441,0.1675,73.5
1220,413,0.1544,75.3
1221,423,0.1509,75.8
1222,378,0.1357,76
1223,424,0.1558,76
1224,436,0.1562,76.1
1225,420,0.1589,67.4
1226,406,0.1627,63.5
1227,421,0.1594,61.3
1228,432,0.1523,61.3
1229,431,0.1407,62.9
1230,522,0.18,61.3
1231,467,0.1611,61.6
1232,449,0.1555,61.6
1233,492,0.1696,60.8
1234,487,0.1764,59.8
1235,507,0.1731,60.1
1236,455,0.1599,60.8
1237,481,0.154,62.2
1238,500,0.1725,62
1239,425,0.1508,61.9
1240,489,0.1553,63.3
1241,483,0.1572,63
1242,481,0.1531,63.7
1243,491,0.1583,63.1
1244,452,0.1592,62.1
1245,513,0.1666,62.9
1246,436,0.1469,62.9
1247,496,0.1524,63.5
1248,452,0.1445,64.1
1249,379,0.1323,62.8
1250,439,0.1449,63.3
1251,442,0.1536,61.9
1252,385,0.135,62.4
1253,435,0.1447,62.7
1254,410,0.1334,63.5
1255,428,0.1386,64
1256,420,0.1417,63.1
1257,462,0.1637,61.4
1258,425,0.1546,60.6
1259,419,0.145,60.9
1260,461,0.164,60.8
1261,403,0.1454,60.1
1262,394,0.1503,59.8
1263,429,0.1552,59.4
1264,426,0.1588,58.8
1265,427,0.1578,59.3
1266,408,0.1557,59.8
1267,445,0.1691,58.6
1268,396,0.1465,58.8
1269,440,0.1599,59.8
1270,386,0.1439,59.9
1271,432,0.1645,59.6
1272,414,0.1548,59.7
1273,423,0.1611,58.9
1274,417,0.1488,59.8
1275,386,0.1512,59.9
1276,416,0.1604,58.7
1277,443,0.1769,58.9
1278,381,0.1448,59.1
1279,453,0.164,59.5
1280,444,0.1627,59.6
1281,398,0.1508,59.6
1282,406,0.155,58.5
1283,397,0.1511,59.9
1284,440,0.1649,59.1
1285,398,0.1472,59.6
1286,412,0.1573,58.4
1287,415,0.1572,59.1
1288,403,0.1612,60
1289,383,0.1517,59
1290,424,0.1399,61.2
1291,351,0.1285,60.9
1292,429,0.1744,58.8
1293,381,0.127,62
1294,415,0.1579,60.7
1295,384,0.1554,59.6
1296,387,0.1322,62.5
1297,397,0.152,59.9
1298,401,0.1577,60
1299,414,0.1499,59.9
1300,409,0.1637,59.6
1301,476,0.1636,60.6
1302,404,0.1581,59.8
1303,396,0.1515,59.5
1304,431,0.1634,59.8
1305,448,0.151,61.2
1306,424,0.1518,60.4
1307,438,0.1566,60.4
1308,476,0.1693,60.2
1309,434,0.1572,59.3
1310,426,0.1555,58.6
1311,416,0.1591,58.9
1312,448,0.161,59.7
1313,415,0.1555,59.8
1314,424,0.1529,59.5
1315,390,0.1453,59.1
1316,391,0.141,60.6
1317,446,0.1588,60.8
1318,445,0.1576,60.6
1319,404,0.1507,60.4
1320,440,0.1503,60.2
1321,417,0.1518,60.1
1322,376,0.1328,60.6
1323,474,0.1598,61
1324,462,0.1568,61.6
1325,428,0.151,61.3
1326,430,0.1503,61.3
1327,419,0.155,60.7
1328,445,0.1636,60.6
1329,465,0.1512,61.5
1330,480,0.1605,61.7
1331,448,0.1504,62.4
1332,449,0.1525,62.2
1333,404,0.1313,62.4
1334,413,0.1427,62.2
1335,432,0.1511,61.7
1336,425,0.1447,61.9
1337,453,0.1469,61.3
1338,430,0.1476,61.5
1339,414,0.1416,62.6
1340,434,0.1397,62.6
1341,484,0.1612,62.8
1342,462,0.1438,63
1343,465,0.1451,63.5
1344,473,0.1433,64.8
1345,394,0.14,62.3
1346,460,0.1488,63.4
1347,460,0.1493,63.4
1348,488,0.1585,63.4
1349,446,0.1494,62.6
1350,481,0.1568,62.8
1351,427,0.1407,62.8
1352,425,0.1373,62.6
1353,500,0.1524,64
1354,504,0.1531,64.8
1355,543,0.1516,66.2
1356,475,0.1477,65.5
1357,438,0.1352,65.4
1358,498,0.1548,65.3
1359,517,0.1658,63.5
1360,552,0.1651,62.9
1361,462,0.171,58.4
1362,531,0.1629,60
1363,480,0.143,61.3
1364,524,0.1662,62.3
1365,484,0.1464,63.7
1366,473,0.1457,64.5
1367,467,0.1427,64.7
1368,461,0.1383,65.3
1369,458,0.1436,64.4
1370,441,0.1414,64.1
1371,465,0.1463,64.5
1372,423,0.1283,65.7
1373,394,0.1267,65.7
1374,386,0.1186,66.9
1375,434,0.1353,65.8
1376,386,0.1161,65.1
1377,385,0.1193,65.8
1378,375,0.1265,64.7
1379,385,0.1207,65.3
1380,340,0.1085,65.6
1381,330,0.1094,65.7
1382,322,0.103,65
1383,348,0.1168,65.3
1384,378,0.126,64.4
1385,338,0.1047,64.8
1386,326,0.1048,65.4
1387,274,0.09,65.2
1388,310,0.0996,65.5
1389,291,0.094,65.7
1390,312,0.103,65.2
1391,274,0.096,63.9
1392,282,0.0894,66
1393,270,0.0998,62.7
1394,282,0.0924,63.5
1395,278,0.0948,64.9
1396,304,0.1077,63.5
1397,295,0.0915,66
1398,266,0.0993,64.5
1399,278,0.1015,63
1400,273,0.0924,63.7
1401,244,0.0822,65.1
1402,249,0.093,64.5
1403,245,0.0827,65.9
1404,291,0.0951,65.4
1405,262,0.0945,65.2
1406,247,0.0829,67.5
1407,302,0.1062,66.1
1408,295,0.103,65.8
1409,259,0.0919,65.4
1410,281,0.0953,67.4
1411,261,0.091,67.1
1412,238,0.0861,67.2
1413,225,0.0791,67.5
1414,253,0.082,69.3
1415,258,0.0972,66.4
1416,216,0.0812,65.8
1417,225,0.0836,65.3
1418,246,0.0902,65.2
1419,218,0.0777,66.9
1420,215,0.0791,65.2
1421,210,0.0783,66
1422,215,0.0833,65.4
1423,210,0.0793,64.4
1424,189,0.0764,64.6
1425,204,0.074,64.8
1426,161,0.0651,64.9
1427,191,0.0726,66.9
1428,175,0.0735,64.9
1429,150,0.0601,67.3
1430,129,0.0548,67.3
1431,149,0.0639,65.9
1432,154,0.0615,67
1433,142,0.0602,65.7
1434,137,0.0593,65.6
1435,127,0.0535,66.5
1436,126,0.0601,65.9
1437,122,0.0588,65
1438,122,0.0524,63.4
1439,129,0.055,65.8
1440,119,0.0559,64.1
1441,97,0.0447,66.9
1442,98,0.0499,64.4
1443,104,0.0499,65.6
1444,95,0.0493,64.8
1445,120,0.0601,62.2
1446,103,0.0486,64.9
1447,99,0.0475,65.3
1448,74,0.0425,61.8
1449,91,0.0453,66.1
1450,86,0.0474,64.2
1451,108,0.0542,63.8
1452,78,0.0394,65.7
1453,80,0.0485,64.2
1454,76,0.0472,62.6
1455,85,0.0475,64.5
1456,81,0.0441,65.3
1457,85,0.0458,66.2
1458,72,0.0435,64.8
1459,63,0.0412,62.7
1460,80,0.0458,63.8
1461,77,0.0537,59.9
1462,90,0.0505,62.3
1463,59,0.0366,63.2
1464,64,0.0465,61.4
1465,61,0.0406,64.6
1466,99,0.0649,63.2
1467,76,0.047,64.3
1468,89,0.0516,65
1469,74,0.0465,65.9
1470,75,0.05,65.3
1471,79,0.0477,64.4
1472,93,0.0555,65.2
1473,79,0.0503,65.5
1474,83,0.0505,65.7
1475,99,0.059,64.2
1476,73,0.048,63.1
1477,74,0.0477,64.2
1478,94,0.0561,65.6
1479,85,0.0522,64.7
1480,104,0.058,65.6
1481,97,0.0568,65.2
1482,108,0.0622,65.9
1483,95,0.0552,66.1
1484,106,0.0658,65
1485,125,0.065,66.2
1486,119,0.0579,70.7
1487,154,0.0705,70.9
1488,181,0.0937,67.7
1489,187,0.0813,68.3
1490,205,0.0921,67.9
1491,203,0.0921,68.2
1492,212,0.0832,70.9
1493,264,0.1092,70.4
1494,301,0.1206,69.9
1495,321,0.1173,70.4
1496,356,0.1459,69.1
1497,390,0.1378,70.3
1498,389,0.1391,69.9
1499,412,0.156,69.3
1500,349,0.1425,68.5
1501,479,0.1748,68.9
1502,484,0.184,68
1503,485,0.1976,64.8
1504,464,0.2102,60.4
1505,441,0.206,59.3
1506,429,0.1989,56.5
1507,438,0.2486,52.2
1508,422,0.2401,49.6
1509,412,0.1999,51.4
1510,458,0.1954,54.6
1511,416,0.1511,61.2
1512,423,0.1489,67.6
1513,410,0.1516,63.5
1514,388,0.135,63.1
1515,405,0.1511,61.4
1516,453,0.1535,62.1
1517,446,0.1548,61
1518,470,0.1611,61.3
1519,453,0.1542,61.5
1520,468,0.1546,62.4
1521,471,0.1452,63.6
1522,451,0.1467,63.4
1523,474,0.147,64.7
1524,446,0.1509,63.5
1525,460,0.1502,63.2
1526,466,0.1571,63
1527,508,0.1711,62.4
1528,505,0.1635,62.6
1529,472,0.1644,62.1
1530,499,0.1624,62.4
1531,440,0.1427,63.2
1532,478,0.1623,62.2
1533,475,0.1554,63
1534,473,0.1579,63.5
1535,440,0.1474,63.9
1536,449,0.1531,63.2
1537,424,0.1429,62.9
1538,440,0.1462,63.6
1539,428,0.1441,63.4
1540,371,0.1156,64.5
1541,411,0.1411,63.4
1542,383,0.1331,63.5
1543,412,0.1362,63.7
1544,391,0.1304,64.4
1545,409,0.1435,62.7
1546,456,0.1506,63.4
1547,447,0.1512,63.3
1548,413,0.1417,62.9
1549,477,0.1739,61.2
1550,416,0.157,60.9
1551,417,0.1564,59.5
1552,415,0.1737,58.2
1553,413,0.1678,59.9
1554,468,0.1849,57.6
1555,447,0.169,58.7
1556,444,0.1624,58.9
1557,447,0.166,59.4
1558,416,0.1481,61.2
1559,396,0.1455,61.2
1560,413,0.1604,60.4
1561,442,0.1726,59.4
1562,382,0.1528,59.6
1563,428,0.1657,59.5
1564,426,0.1647,59.7
1565,431,0.1748,59
1566,423,0.1833,57.8
1567,431,0.1731,58.3
1568,401,0.16,58.2
1569,438,0.1632,59.9
1570,422,0.1607,59.7
1571,419,0.1617,59.8
1572,390,0.1566,58.7
1573,374,0.1464,60
1574,365,0.1561,58.7
1575,379,0.1478,58.7
1576,414,0.1512,59.3
1577,387,0.1572,59.2
1578,409,0.1577,59
1579,391,0.1495,59.6
1580,387,0.1497,59.7
1581,465,0.1838,58.1
1582,426,0.1621,59.9
1583,461,0.186,58.4
1584,443,0.1601,59.2
1585,352,0.1451,59.2
1586,392,0.1522,60.4
1587,366,0.1494,59.6
1588,452,0.1789,58.4
1589,400,0.1471,59.7
1590,488,0.1797,59.5
1591,423,0.1707,58
1592,408,0.1556,58.5
1593,426,0.1709,59.5
1594,388,0.1466,59.9
1595,406,0.1501,59.9
1596,428,0.1624,59.4
1597,378,0.1411,60.4
1598,354,0.1325,60.6
1599,408,0.1667,60.1
1600,433,0.1624,60
1601,380,0.1512,59.1
1602,468,0.177,58.9
1603,389,0.154,59.6
1604,446,0.1554,60.9
1605,399,0.1471,60.4
1606,427,0.1525,60.7
1607,443,0.157,60.4
1608,395,0.1981,52.1
1609,327,0.4279,38.4
1610,251,0.4553,29
1611,189,0.4222,25.2
1612,67,0.2783,21.6
1613,180,0.3127,17.1
1614,246,0.4881,19.9
1615,292,0.4115,21.3
1616,385,0.3542,25.8
1617,426,0.2781,30.8
1618,390,0.3521,30.4
1619,421,0.3379,31.3
1620,455,0.2771,34.4
1621,420,0.1784,43
1622,451,0.1646,51
1623,443,0.162,55.4
1624,490,0.1626,58.1
1625,503,0.1597,60.7
1626,438,0.146,61.6
1627,393,0.1389,61.4
1628,390,0.1426,61.4
1629,457,0.1485,62.4
1630,485,0.1532,63
1631,432,0.1348,64.3
1632,426,0.141,64.3
1633,500,0.1519,64.2
1634,452,0.1472,63.7
1635,448,0.1396,64.3
1636,509,0.1628,64.2
1637,516,0.1569,64.7
1638,475,0.1532,64.1
1639,445,0.1412,64.2
1640,469,0.1469,64.6
1641,471,0.1389,65.9
1642,495,0.143,66.4
1643,469,0.1376,67
1644,485,0.1478,66.7
1645,442,0.1373,65.8
1646,501,0.1472,66.3
1647,462,0.1435,65.6
1648,514,0.1486,66.4
1649,519,0.1517,66.2
1650,473,0.1532,64.3
1651,532,0.1785,61.5
1652,507,0.1604,61.3
1653,507,0.1634,60.7
1654,472,0.1473,62.3
1655,478,0.1463,63.6
1656,507,0.1572,64.2
1657,468,0.1452,64.2
1658,493,0.1557,64.2
1659,529,0.1574,64.8
1660,462,0.1396,65.4
1661,444,0.1322,66
1662,443,0.1331,66
1663,395,0.1192,67.1
1664,417,0.127,67.2
1665,347,0.113,66.4
1666,365,0.1047,67.1
1667,350,0.1133,65.9
1668,358,0.1131,66.5
1669,311,0.1005,67.6
1670,350,0.1107,66
1671,343,0.1034,66.7
1672,337,0.096,68.9
1673,297,0.0959,68
1674,318,0.099,66.6
1675,316,0.1085,65.5
1676,310,0.1041,64.6
1677,301,0.1071,63.2
1678,279,0.1053,61.9
1679,294,0.0931,65.2
1680,283,0.0925,65.8
1681,276,0.0938,66.6
1682,267,0.0821,69
1683,287,0.0927,68
1684,295,0.098,66.5
1685,281,0.086,68.5
1686,286,0.1019,64.7
1687,290,0.0969,65.4
1688,264,0.0925,64.8
1689,287,0.0923,64.9
1690,266,0.092,65.7
1691,256,0.091,64.3
1692,229,0.0796,64.7
1693,292,0.0978,65
1694,283,0.0952,66.8
1695,258,0.0993,65.5
1696,290,0.0895,66.6
1697,276,0.0857,68.9
1698,286,0.0934,68
1699,233,0.079,67.8
1700,258,0.0906,66
1701,278,0.0905,65.8
1702,245,0.0809,67.5
1703,246,0.0883,65.8
1704,252,0.0892,66.2
1705,232,0.0887,65.7
1706,223,0.0744,67.3
1707,221,0.0798,65.8
1708,210,0.0787,65.4
1709,235,0.0836,64.4
1710,213,0.0832,63.4
1711,215,0.089,62.8
1712,194,0.0691,65.3
1713,213,0.0761,65.4
1714,203,0.0768,65.3
1715,183,0.0671,65.2
1716,164,0.065,63.4
1717,136,0.0573,67.1
1718,174,0.0749,65.1
1719,173,0.0665,69.2
1720,139,0.0657,66.7
1721,158,0.0623,68.5
1722,166,0.0654,67.8
1723,122,0.0515,68.8
1724,128,0.059,66
1725,126,0.0531,67.8
1726,106,0.0504,66.4
1727,120,0.052,68.6
1728,129,0.0551,67.4
1729,122,0.0578,66.1
1730,116,0.0557,66.3
1731,110,0.0511,67.5
1732,111,0.0596,64.2
1733,113,0.0544,64.9
1734,110,0.0634,60.1
1735,106,0.055,61.8
1736,82,0.0479,62.1
1737,86,0.0504,60.5
1738,89,0.0528,59.8
1739,71,0.0412,63
1740,102,0.0537,61.8
1741,79,0.0435,66.2
1742,75,0.0474,65.8
1743,79,0.0485,64.8
1744,75,0.0496,63.6
1745,105,0.058,61.6
1746,69,0.0396,65.2
1747,85,0.0478,66.4
1748,74,0.0439,66.3
1749,81,0.0486,66.1
1750,77,0.0413,68
1751,84,0.0487,67.3
1752,88,0.0532,64.4
1753,81,0.048,65.3
1754,82,0.0592,61.2
1755,74,0.0455,63.1
1756,76,0.0497,63.2
1757,80,0.0599,60
1758,80,0.0569,61
1759,85,0.0535,60.4
1760,81,0.0493,63
1761,80,0.051,61.5
1762,91,0.0566,61.3
1763,68,0.0411,65
1764,98,0.0602,63.4
1765,70,0.0486,62.6
1766,85,0.0464,65.5
1767,70,0.0498,62.9
1768,108,0.0622,62.3
1769,101,0.0561,63
1770,103,0.0653,62
1771,117,0.0622,62.4
1772,125,0.057,65.8
1773,144,0.0729,64.6
1774,156,0.0774,64.5
1775,146,0.0687,65.3
1776,148,0.084,62.7
1777,158,0.0795,65
1778,192,0.0916,64.1
1779,212,0.0973,65.6
1780,224,0.091,67.5
1781,264,0.1066,68.3
1782,285,0.1163,67.4
1783,279,0.1011,70.4
1784,346,0.1305,69.7
1785,374,0.1413,69.2
1786,358,0.1294,69.8
1787,425,0.1605,68.4
1788,426,0.1582,68.5
1789,473,0.1689,70.4
1790,468,0.1758,69.6
1791,480,0.2341,61.5
1792,493,0.2259,59.2
1793,422,0.1768,62.1
1794,465,0.1845,64
1795,433,0.1639,67.4
1796,414,0.1518,69.9
1797,448,0.1586,72
1798,398,0.1385,73.3
1799,400,0.1398,74.3
1800,391,0.14,73.9
1801,399,0.1437,67.7
1802,381,0.1336,65
1803,419,0.1348,64.6
1804,345,0.12,62.7
1805,474,0.1514,62.9
1806,488,0.156,63.2
1807,464,0.1569,62.5
1808,517,0.1681,62.6
1809,471,0.1615,61.7
1810,418,0.1392,61.5
1811,470,0.1586,61.6
1812,451,0.1599,60.6
1813,475,0.1716,59.4
1814,518,0.1867,57.1
1815,428,0.1911,52.6
1816,457,0.2219,49
1817,515,0.2486,47.6
1818,510,0.1594,55.7
1819,509,0.1678,58.7
1820,488,0.1657,60
1821,520,0.1716,60.5
1822,512,0.1604,62.5
1823,463,0.1468,63.5
1824,450,0.1537,62
1825,457,0.1637,61.4
1826,467,0.1485,62
1827,493,0.1744,61.8
1828,491,0.1744,61.2
1829,506,0.177,60.5
1830,475,0.1794,59.4
1831,476,0.169,58.7
1832,494,0.1664,60.1
1833,488,0.2158,53.1
1834,488,0.1979,52.5
1835,465,0.1658,56.7
1836,466,0.1693,55.8
1837,422,0.164,56.8
1838,472,0.1737,57.6
1839,467,0.1785,58.3
1840,470,0.1787,57.6
1841,442,0.1685,57.8
1842,443,0.1668,58.5
1843,442,0.1572,58.7
1844,446,0.1589,59.8
1845,464,0.1609,60.5
1846,449,0.1742,59.4
1847,428,0.168,58.2
1848,391,0.1532,59.4
1849,409,0.1588,59.1
1850,392,0.1497,58.3
1851,444,0.1656,59
1852,455,0.1623,59.5
1853,382,0.1531,58.8
1854,429,0.1518,59.5
1855,416,0.166,58.7
1856,367,0.1476,58.8
1857,449,0.1604,60
1858,428,0.1668,58.7
1859,432,0.1593,59.1
1860,410,0.1543,59.1
1861,447,0.1702,58.7
1862,379,0.1564,58
1863,449,0.1878,58
1864,486,0.1762,58.4
1865,440,0.1746,58.1
1866,422,0.1647,58.8
1867,454,0.1656,59.6
1868,423,0.155,59
1869,418,0.1577,59.2
1870,423,0.1791,58
1871,444,0.1939,57.1
1872,418,0.1694,57.7
1873,425,0.1663,57.2
1874,419,0.1574,58.5
1875,431,0.1689,58.3
1876,456,0.1752,57.1
1877,436,0.1714,57.9
1878,424,0.1652,58.4
1879,413,0.1701,56.8
1880,410,0.1578,57.9
1881,448,0.174,57.8
1882,419,0.165,57.4
1883,400,0.1537,58.4
1884,420,0.1619,58.2
1885,399,0.1599,58.3
1886,400,0.1562,58.4
1887,403,0.1594,58.9
1888,362,0.1322,61
1889,417,0.1613,59.8
1890,409,0.1483,60.4
1891,406,0.1533,59.7
1892,402,0.1557,59.3
1893,426,0.1564,59.3
1894,473,0.1784,59.3
1895,435,0.1532,60.7
1896,402,0.1435,60.2
1897,407,0.1505,60.3
1898,406,0.1592,59.2
1899,406,0.1509,59.3
1900,445,0.1639,58.6
1901,410,0.1499,59.8
1902,434,0.1549,60.3
1903,408,0.1453,60.8
1904,429,0.147,60.8
1905,412,0.1426,62
1906,422,0.1405,62.3
1907,453,0.1487,62.1
1908,434,0.145,62.3
1909,431,0.1421,62.6
1910,373,0.1399,61.2
1911,475,0.1776,57.7
1912,432,0.1521,59.3
1913,436,0.1452,60.9
1914,494,0.1671,60.3
1915,428,0.1402,61.6
1916,439,0.1425,62
1917,440,0.1439,62.5
1918,468,0.1445,64.4
1919,461,0.1501,64
1920,442,0.141,64.2
1921,438,0.1492,63.2
1922,456,0.1513,63.3
1923,458,0.1476,63.3
1924,444,0.1498,62.8
1925,491,0.1611,62.5
1926,452,0.1383,64.2
1927,470,0.1497,64.8
1928,445,0.1414,64.8
1929,454,0.1413,64.1
1930,479,0.1529,64.4
1931,458,0.1405,64.9
1932,515,0.1558,64.7
1933,517,0.1578,63.7
1934,464,0.1388,65.4
1935,490,0.1438,65.5
1936,485,0.1505,65.2
1937,512,0.1464,66.4
1938,549,0.1577,66.1
1939,456,0.151,64
1940,423,0.1347,64.2
1941,482,0.1447,65
1942,520,0.1522,65.4
1943,460,0.1357,66.2
1944,449,0.1377,65.1
1945,468,0.1328,66.3
1946,474,0.1501,64.9
1947,490,0.1609,64
1948,454,0.1439,64.8
1949,444,0.1355,64.2
1950,415,0.1404,63.4
1951,406,0.1257,64.3
1952,392,0.1169,65
1953,380,0.1232,65.7
1954,353,0.1142,65.6
1955,368,0.1136,66.3
1956,333,0.1079,66.3
1957,306,0.1016,66.3
1958,345,0.1159,65
1959,328,0.1138,64.8
1960,334,0.1084,65.4
1961,331,0.1027,66.3
1962,268,0.0931,65.9
1963,285,0.0937,65.9
1964,300,0.108,64
1965,293,0.0982,64.1
1966,300,0.109,64.3
1967,289,0.1008,62.3
1968,305,0.1098,62.4
1969,232,0.0857,62.3
1970,338,0.1212,62.6
1971,286,0.0957,64.1
1972,322,0.108,64
1973,273,0.086,65
1974,248,0.0909,64.1
1975,270,0.093,63.6
1976,276,0.095,64.2
1977,284,0.1026,62.2
1978,259,0.0923,62.6
1979,288,0.0977,63.6
1980,246,0.085,64.1
1981,249,0.0911,65.1
1982,263,0.0914,64.8
1983,265,0.1001,63.5
1984,284,0.1021,64.5
1985,283,0.0995,64.3
1986,308,0.1024,65.6
1987,253,0.0885,66.3
1988,246,0.0922,65.2
1989,232,0.0806,66
1990,248,0.0868,66.3
1991,255,0.1017,62.1
1992,260,0.0996,62.8
1993,226,0.0775,65
1994,242,0.0886,65.4
1995,248,0.0915,65.3
1996,274,0.0939,65.9
1997,225,0.0895,65.2
1998,214,0.0862,64.2
1999,200,0.0794,64
2000,242,0.0833,65.8
2001,209,0.0866,64.8
2002,216,0.0873,62.8
2003,189,0.078,62.2
2004,171,0.079,60.7
2005,169,0.0677,62.5
2006,154,0.0652,63.3
2007,147,0.0692,62.1
2008,173,0.0698,64.4
2009,141,0.067,63.8
2010,127,0.0536,64.5
2011,140,0.0552,66.8
2012,157,0.0722,62.6
2013,121,0.0583,61.8
2014,147,0.0656,62
2015,147,0.0577,63.5
2016,117,0.0576,63.9
2017,124,0.0546,66.3
2018,115,0.057,66.4
2019,105,0.0512,66.8
2020,116,0.0557,65.1
2021,95,0.0504,64.8
2022,127,0.0592,64.5
2023,117,0.0612,62.2
2024,106,0.0481,65.1
2025,96,0.0427,66.7
2026,107,0.0471,67
2027,97,0.0456,66.9
2028,83,0.046,65.1
2029,73,0.0409,67.2
2030,73,0.0478,65.8
2031,67,0.0476,62.8
2032,85,0.0447,66.9
2033,82,0.0501,65.4
2034,83,0.0449,67.6
2035,90,0.0474,68.7
2036,73,0.0416,68.1
2037,77,0.0456,66.2
2038,86,0.0461,66.9
2039,90,0.0485,66.5
2040,81,0.0536,63.2
2041,64,0.0453,64
2042,85,0.0532,64.3
2043,80,0.0529,62.2
2044,74,0.0455,65
2045,87,0.0523,64.6
2046,98,0.054,67.4
2047,71,0.0486,64.6
2048,79,0.0481,65.4
2049,67,0.049,62.4
2050,65,0.0426,61.7
2051,75,0.0482,63.6
2052,98,0.0593,63.6
2053,74,0.0546,62
2054,87,0.0572,60.8
2055,91,0.0612,61.9
2056,100,0.0614,61.7
2057,110,0.0613,63.9
2058,120,0.0619,66
2059,112,0.0668,64.2
2060,129,0.0687,64.7
2061,131,0.0584,69.5
2062,150,0.0762,67.2
2063,117,0.0583,68.4
2064,170,0.0838,66.7
2065,179,0.089,65.9
2066,183,0.0827,67.4
2067,181,0.0818,67.5
2068,222,0.0873,69
2069,250,0.0974,71
2070,288,0.1183,69.7
2071,286,0.1114,69.2
2072,289,0.104,71.3
2073,329,0.1308,69.6
2074,382,0.1384,70.1
2075,382,0.1449,69.4
2076,432,0.1536,69.5
2077,422,0.1656,67
2078,420,0.1594,66.3
2079,419,0.1629,65.4
2080,386,0.1514,64.9
2081,385,0.1344,66.8
2082,442,0.155,67.4
2083,369,0.1441,66.1
2084,431,0.1551,66.4
2085,396,0.1491,66
2086,345,0.1331,66.8
2087,447,0.1514,67.6
2088,396,0.1417,67.6
2089,425,0.1525,64.1
2090,395,0.1458,62.5
2091,417,0.1555,61
2092,405,0.1463,60.4
2093,440,0.1445,61.5
2094,420,0.1509,60.7
2095,417,0.1492,59.2
2096,480,0.1644,59.8
2097,464,0.164,59.7
2098,496,0.1763,59.4
2099,441,0.1543,60
2100,452,0.1601,60.1
2101,443,0.1529,60
2102,410,0.1413,60.8
2103,412,0.1613,56.8
2104,443,0.1466,59
2105,383,0.1262,60.9
2106,497,0.1718,60.5
2107,466,0.1531,61.7
2108,443,0.1544,60.6
2109,488,0.1599,61.2
2110,442,0.152,61
2111,470,0.1685,60.3
2112,438,0.1563,60.3
2113,424,0.1443,61.5
2114,421,0.1672,59.6
